tag	anim_name	anim_name2	anime_name3	unk0
A	a,CastShortAnimName\0	a,CastEndAnimName\0	a,MagicNoTargetAnimName\0	1
B	a,CastShortAnimName\0	a,CastEndAnimName\0	a,MagicShotAnimName\0	1
C	a,CastShortAnimName\0	a,CastEndAnimName\0	a,MagicThrowAnimName\0	1
D	a,CastMidAnimName\0	a,CastEndAnimName\0	a,MagicNoTargetAnimName\0	1
E	a,CastMidAnimName\0	a,CastEndAnimName\0	a,MagicShotAnimName\0	1
f	a,CastMidAnimName\0	a,CastEndAnimName\0	a,MagicThrowAnimName\0	1
G	a,CastLongAnimName\0	a,CastEndAnimName\0	a,MagicNoTargetAnimName\0	1
H	a,CastLongAnimName\0	a,CastEndAnimName\0	a,MagicShotAnimName\0	1
i	a,CastLongAnimName\0	a,CastEndAnimName\0	a,MagicThrowAnimName\0	1
j	a,CastEndAnimName\0	a,MagicNoTargetAnimName\0	a,none\0	0
K	a,CastEndAnimName\0	a,MagicShotAnimName\0	a,none\0	0
L	a,CastEndAnimName\0	a,MagicThrowAnimName\0	a,none\0	0
A2	a,CastShort2AnimName\0	a,CastEnd2AnimName\0	a,MagicNoTargetAnimName\0	1
b2	a,CastShort2AnimName\0	a,CastEnd2AnimName\0	a,MagicShotAnimName\0	1
C2	a,CastShort2AnimName\0	a,CastEnd2AnimName\0	a,MagicThrowAnimName\0	1
D2	a,CastMid2AnimName\0	a,CastEnd2AnimName\0	a,MagicNoTargetAnimName\0	1
E2	a,CastMid2AnimName\0	a,CastEnd2AnimName\0	a,MagicShotAnimName\0	1
F2	a,CastMid2AnimName\0	a,CastEnd2AnimName\0	a,MagicThrowAnimName\0	1
G2	a,CastMid2AnimName\0	a,CastEnd2AnimName\0	a,MagicNoTargetAnimName\0	1
H2	a,CastMid2AnimName\0	a,CastEnd2AnimName\0	a,MagicShotAnimName\0	1
I2	a,CastMid2AnimName\0	a,CastEnd2AnimName\0	a,MagicThrowAnimName\0	1
J2	a,CastEnd2AnimName\0	a,MagicNoTargetAnimName\0	a,none\0	0
K2	a,CastEnd2AnimName\0	a,MagicShotAnimName\0	a,none\0	0
L2	a,CastEnd2AnimName\0	a,MagicThrowAnimName\0	a,none\0	0
M	a,PicItemAnimName\0	a,none\0	a,none\0	-1
N	a,SpAtk27AnimName\0	a,none\0	a,none\0	-1
O	a,AtkWaitAnimName\0	a,none\0	a,none\0	-1
P	a,SpecialSocial1AnimName\0	a,none\0	a,none\0	-1
Q	a,SpecialSocial2AnimName\0	a,none\0	a,none\0	-1
R	a,SpecialSocial3AnimName\0	a,none\0	a,none\0	-1
S	a,SpAtk01AnimName\0	a,none\0	a,none\0	-1
t	a,SpAtk02AnimName\0	a,none\0	a,none\0	-1
U	a,SpAtk03AnimName\0	a,none\0	a,none\0	-1
V	a,SpAtk04AnimName\0	a,none\0	a,none\0	-1
W	a,SpAtk05AnimName\0	a,none\0	a,none\0	-1
X	a,SpAtk06AnimName\0	a,none\0	a,none\0	-1
Y	a,ShieldAtkAnimName\0	a,none\0	a,none\0	-1
Z	a,SpAtk28AnimName\0	a,none\0	a,none\0	-1
Mix01	a,SpAtk09AnimName\0	a,SpAtk17AnimName\0	a,SpAtk24AnimName\0	-1
Mix02	a,SpAtk07AnimName\0	a,SpAtk16AnimName\0	a,SpAtk25AnimName\0	-1
Mix03	a,SpAtk07AnimName\0	a,SpAtk13AnimName\0	a,SpAtk20AnimName\0	-1
Mix04	a,SpAtk07AnimName\0	a,SpAtk12AnimName\0	a,SpAtk21AnimName\0	-1
Mix05	a,SpAtk08AnimName\0	a,SpAtk13AnimName\0	a,SpAtk22AnimName\0	-1
Mix06	a,SpAtk18AnimName\0	a,none\0	a,none\0	-1
Mix07	a,SpAtk19AnimName\0	a,none\0	a,none\0	-1
Mix08	a,SpAtk07AnimName\0	a,SpAtk14AnimName\0	a,SpAtk23AnimName\0	-1
Mix09	a,SpAtk09AnimName\0	a,SpAtk15AnimName\0	a,SpAtk26AnimName\0	-1
ms01	a,Atk01AnimName\0	a,Atk02AnimName\0	a,Atk03AnimName\0	1
MIX51	a,SpAtk01AnimName\0	a,SpAtk02AnimName\0	a,none\0	-1
MIX52	a,SpAtk01AnimName\0	a,SpAtk03AnimName\0	a,none\0	-1
Mix53	a,SpAtk05AnimName\0	a,SpAtk06AnimName\0	a,none\0	-1
MIX54	a,SpAtk08AnimName\0	a,SpAtk07AnimName\0	a,none\0	-1
MIX55	a,SpAtk08AnimName\0	a,SpAtk10AnimName\0	a,none\0	-1
Mix56	a,SpAtk08AnimName\0	a,SpAtk12AnimName\0	a,none\0	-1
MIX57	a,SpAtk13AnimName\0	a,SpAtk14AnimName\0	a,SpAtk15AnimName\0	-1
Mix58	a,SpAtk08AnimName\0	a,SpAtk09AnimName\0	a,none\0	-1
Mix59	a,SpAtk08AnimName\0	a,SpAtk11AnimName\0	a,none\0	-1
MIX60	a,SpAtk05AnimName\0	a,SpAtk19AnimName\0	a,none\0	-1
Mix61	a,SpAtk05AnimName\0	a,SpAtk07AnimName\0	a,none\0	-1
DD	a,DashWaitAnimName\0	a,DashAnimName\0	a,none\0	-1
DI	a,DashWaitAnimName\0	a,DashImpactAnimName\0	a,none\0	-1
DC	a,DblCastLoopAnimName\0	a,DblCastLeftShotAnimName\0	a,DblCastRightShotAnimName\0	0
DRAG	a,Drag_CastAnimName\0	a,Drag_LoopAnimName\0	a,Drag_ShotAnimName\0	1
EX01	a,ExAtk01AnimName\0	a,none\0	a,none\0	-1
Ex02	a,ExAtk02AnimName\0	a,none\0	a,none\0	-1
EX03	a,ExAtk03AnimName\0	a,none\0	a,none\0	-1
EX04	a,ExAtk04AnimName\0	a,none\0	a,none\0	-1
EX05	a,ExAtk05AnimName\0	a,none\0	a,none\0	-1
EX06	a,ExAtk06AnimName\0	a,none\0	a,none\0	-1
EX07	a,ExAtk07AnimName\0	a,none\0	a,none\0	-1
EX08	a,ExAtk08AnimName\0	a,none\0	a,none\0	-1
EX09	a,ExAtk09AnimName\0	a,none\0	a,none\0	-1
EX10	a,ExAtk10AnimName\0	a,none\0	a,none\0	-1
EX11	a,ExAtk11AnimName\0	a,none\0	a,none\0	-1
EX12	a,ExAtk12AnimName\0	a,none\0	a,none\0	-1
EX13	a,ExAtk13AnimName\0	a,none\0	a,none\0	-1
EX14	a,ExAtk14AnimName\0	a,none\0	a,none\0	-1
EX15	a,ExAtk15AnimName\0	a,none\0	a,none\0	-1
EX16	a,ExAtk16AnimName\0	a,none\0	a,none\0	-1
